"Time [s]","Torque1.Torque []"
0.662,-65.1560330682262
0.664,-64.9133320174336
0.666,-65.4540608628965
0.668,-65.2449009048742
0.67,-65.184857927066
0.672,-65.3673116124422
0.674,-65.705547309513
0.676,-65.3444060075733
0.678,-65.1751393515706
0.68,-65.2288022758693
0.682,-65.4190499178885
0.684,-65.5941799194097
0.686,-65.7739317007983
0.688000000000001,-65.8522920490905
0.690000000000001,-65.8552589962251
0.692000000000001,-65.7841810761292
0.694000000000001,-65.6104887769957
0.696000000000001,-65.4366406877513
0.698000000000001,-65.241824691326
0.700000000000001,-65.1787630139082
0.702000000000001,-65.2680732807168
0.704000000000001,-65.7173866050883
0.706000000000001,-65.4132576871093
0.708000000000001,-65.1814845635435
0.710000000000001,-65.2024504924746
0.712000000000001,-65.4674161490861
0.714000000000001,-64.9527343444761
0.716000000000001,-65.1134873805232
0.718000000000001,-64.694808912886
0.720000000000001,-64.4429492203412
0.722000000000001,-64.3897646624556
0.724000000000001,-63.9358784013985
0.726000000000001,-63.3202151221391
0.728000000000001,-62.5253964847692
0.730000000000001,-60.6482879177236
0.732000000000001,-57.761226259962
0.734000000000001,-52.4279370856916
0.736000000000001,-36.0169380547956
0.738000000000001,-7.72639749099173
0.740000000000001,20.6912223351076
0.742000000000001,45.9539114140438
0.744000000000001,55.6747258251022
0.746000000000001,60.1857239621819
0.748000000000001,62.3396134659681
0.750000000000001,63.5431796939548
0.752000000000001,64.5913337166683
0.754000000000001,64.7398259050398
0.756000000000001,65.3970416771845
0.758000000000001,65.1086774368836
0.760000000000001,65.9779010896079
0.762000000000001,65.8474143273252
0.764000000000001,65.949206390207
0.766000000000001,66.2010778981586
0.768000000000001,65.9558055168595
0.770000000000001,65.8795775654543
0.772000000000001,66.177961122044
0.774000000000001,66.4036051424897
0.776000000000001,66.0172432322536
0.778000000000001,66.0565773738349
0.780000000000001,66.1866570306747
0.782000000000001,66.3544384860984
0.784000000000001,66.4839619791218
0.786000000000001,66.559724298804
0.788000000000001,66.5747267408576
0.790000000000001,66.5282081031557
0.792000000000001,66.4233036086441
0.794000000000001,66.2721519165383
0.796000000000001,66.1220966832913
0.798000000000001,65.9782694587436
0.800000000000001,66.3104419144156
0.802000000000001,66.3167538208004
0.804000000000001,65.9713824623809
0.806000000000001,65.9381209082165
0.808000000000001,66.0685794364268
0.810000000000001,66.1951839720494
0.812000000000001,65.6820708671036
0.814000000000001,66.0618316429312
0.816000000000001,65.4523995907026
0.818000000000001,65.3043957915234
0.820000000000001,65.1131145914881
0.822000000000001,64.8075967433437
0.824000000000001,64.008025737294
0.826000000000001,63.1598185569047
0.828000000000001,61.2586378332689
0.830000000000001,58.0221232185815
0.832000000000001,52.2613454206488
0.834000000000001,34.8522452806896
0.836000000000001,5.02616000758388
0.838000000000001,-23.2940306556307
0.840000000000001,-46.5303735733401
0.842000000000001,-55.4773242309424
0.844000000000001,-59.574708518487
0.846000000000001,-61.7136639691738
0.848000000000001,-62.8368427813846
0.850000000000001,-63.8954977608301
0.852000000000001,-63.9772186751415
0.854000000000001,-64.6783861314775
0.856000000000001,-64.4054850399546
0.858000000000001,-65.0933713314134
0.860000000000001,-64.8123554123712
0.862000000000001,-65.2716033520309
0.864000000000001,-65.4472137534243
0.866000000000001,-65.1701209943118
0.868000000000001,-65.2251787738338
0.870000000000001,-65.5986472310339
0.872000000000001,-65.638905347136
0.874000000000001,-65.1463763113146
0.876000000000001,-65.1927490029975
0.878000000000001,-65.3202738506263
0.880000000000001,-65.5145622535638
0.882000000000001,-65.6845675629931
0.884000000000001,-65.8041909496946
0.886000000000001,-65.8360140677282
0.888000000000001,-65.7930690960434
0.890000000000001,-65.6581236376324
0.892000000000001,-65.4891419061773
0.894000000000001,-65.2930627786133
0.896000000000001,-65.1891598733546
0.898000000000001,-65.1308412335307
0.900000000000001,-65.690397371039
0.902000000000001,-65.5532090337745
0.904000000000001,-65.1980175535987
0.906000000000001,-65.1571581152528
0.908000000000001,-65.495155127919
0.910000000000001,-65.1666221172184
0.912000000000001,-64.8646825523592
0.914000000000001,-65.0005660601955
0.916000000000001,-64.4029204484056
0.918000000000001,-64.6312155237507
