"Time [s]","Torque1.Torque []"
0.322,66.0830669662755
0.324,66.0901413359888
0.326,65.3254532324915
0.328,64.742480315165
0.33,63.661472275162
0.332,61.6570251501163
0.334,56.8674159416296
0.336,42.8656962111537
0.338,4.16824464630621
0.34,-34.2342683708146
0.342,-54.4868273232666
0.344,-60.175060609999
0.346,-62.6590095603557
0.348,-63.960289566815
0.35,-64.6565831583523
0.352,-64.8562222997525
0.354,-64.9883604939918
0.356,-65.1430849676466
0.358,-65.6951555065429
0.36,-65.4094479602222
0.362,-65.6560008871376
0.364,-66.1376048913261
0.366,-66.0259287601171
0.368,-66.4021883496872
0.37,-66.3135098739959
0.372,-66.6088124773252
0.374,-66.7245952302788
0.376,-66.6659227852609
0.378,-66.5490154610828
0.38,-66.6507214348614
0.382,-66.1967375223709
0.384,-65.5250474692684
0.386,-61.1855066747164
0.388,-53.0386967489856
0.39,-44.5534652174302
0.392,-36.6429966228856
0.394,-29.9331013297799
0.396,-24.8016217390694
0.398,-21.0529972278002
0.4,-18.1924053443543
0.402,-16.0356890227851
0.404,-13.9771518450185
0.406,-12.0572906470707
0.408,-10.4430571139648
0.41,-9.04007998842231
0.412,-7.80108355919905
0.414,-6.67370767347319
0.416,-5.64679181852239
0.418,-4.72341605071248
0.42,-3.87111631869928
0.422,-3.01045452997161
0.424,-2.18634011271949
0.426,-1.37295299516172
0.428,-0.577043852147731
0.43,0.203896401958102
0.432,0.987439727099197
0.434,1.79190416022686
0.436,2.60848407410276
0.438,3.43709832909918
0.44,4.29566144272477
0.442,5.1894181988331
0.444,6.16172239470642
0.446,7.21542555217349
0.448,8.39134196025972
0.45,9.71130978311058
0.452,11.2440538452689
0.454,12.9640610449022
0.456,14.9721229161336
0.458,17.0142675122708
0.46,19.5180866792842
0.462,22.7366700408144
0.464,26.9268110413868
0.466,32.7092111983567
0.468,39.9976249978856
0.47,48.9487833036787
0.472,58.1053253998308
0.474,65.0916208757462
0.476,66.8573628967413
0.478,67.1763825034406
0.48,67.6142753951445
0.482,67.1943714283778
0.484,67.71418300785
0.486,67.0990399910509
0.488,67.4840636189944
0.49,66.9666665800474
0.492,67.1607015137298
0.494,66.7529113427756
0.496,66.6377595029162
0.498,66.8396422969925
0.5,65.9574355479768
0.502,65.8659435239593
0.504,66.2050786191273
0.506,65.9823937910059
0.508,65.1507316425834
0.51,64.7707865948925
0.512,64.0121586515284
0.514,62.2375776824168
0.516,58.0269047534936
0.518,46.9954838667669
0.52,10.5772839526492
0.522,-28.7739562449622
0.524,-53.2277687610135
0.526,-59.6376470980837
0.528,-62.5798549096132
0.53,-63.9154526054244
0.532,-64.5284639653391
0.534,-64.6264211155179
0.536,-64.8809606585355
0.538,-65.2089514284708
0.54,-65.6353833757233
0.542,-65.2988261677337
0.544,-65.7088899593963
0.546,-66.1077378185766
0.548,-66.0197271801557
0.55,-66.4091360297751
0.552,-66.3025421479003
0.554,-66.6079666797741
0.556,-66.7330126971443
0.558,-66.6516762579432
0.56,-66.6089889779772
0.562,-66.6077794802332
