"Distance [mm]","Mag_B []"
227.83673,845.358104412266
228.165025,845.315823811899
228.49332,845.293632106221
228.821615,845.288111714217
229.14991,845.299210797971
229.478205,845.326876817001
229.8065,845.371056542283
230.134795,845.262030219222
230.46309,845.155246483575
230.791385,845.064522198323
231.11968,844.989792554338
231.447975,844.930992143134
231.77627,844.888479137972
232.104565,844.864131450705
232.43286,844.856087309167
232.761155,844.864278351518
233.08945,844.88863546982
233.417745,844.929088828018
233.74604,844.852100719852
234.074335,844.759397105103
234.40263,844.680852942517
234.730925,844.616410316514
235.05922,844.566010841462
235.387515,844.529863644759
235.71581,844.511292729347
236.044105,844.506091047716
236.3724,844.514184832906
236.700695,844.535499851826
237.02899,844.569961422851
237.357285,844.501162473952
237.68558,844.400267137963
238.013875,844.315770156456
238.34217,844.247614212148
238.670465,844.195741200584
238.99876,844.160092244903
239.327055,844.145893399834
239.65535,844.148684910917
239.983645,844.168185866962
240.31194,844.204346029356
240.640235,844.257114437056
240.96853,844.215488824379
241.296825,844.116001900578
241.62512,844.03269185428
241.953415,843.965494548367
242.28171,843.914345160356
242.610005,843.879178198638
242.9383,843.862752041828
243.266595,843.863218640814
243.59489,843.880048518308
243.923185,843.913177762154
244.25148,843.962541744416
244.579775,843.945384796702
244.90807,843.857725346917
245.236365,843.784884848609
245.56466,843.726806383067
245.892955,843.683432513275
246.22125,843.654705299494
246.549545,843.643339858806
246.87784,843.647386075414
247.206135,843.665778444514
247.53443,843.698447616091
247.862725,843.74532367313
248.19102,843.743342006353
248.519315,843.654993300808
248.84761,843.582305897785
249.175905,843.525224355114
249.5042,843.483692547163
249.832495,843.457653679555
250.16079,843.450359820012
250.489085,843.460598450653
250.81738,843.486414589162
251.145675,843.527749852418
251.47397,843.584545180712
251.802265,843.608026534605
252.13056,843.518363479598
252.458855,843.444430360531
252.78715,843.38616964739
253.115445,843.343523122337
253.44374,843.316431894531
253.772035,843.307401622645
254.10033,843.316386597983
254.428625,843.341039524621
254.75692,843.381297380287
255.085215,843.437096392511
255.41351,843.480261280446
255.741805,843.397629044272
256.0701,843.330104816722
256.398395,843.277634509536
256.72669,843.240163336611
257.054985,843.217635827981
257.38328,843.21268726891
257.711575,843.226394909323
258.03987,843.254867063353
258.368165,843.298042436649
258.69646,843.35585906138
259.024755,843.418172265433
259.35305,843.331866009754
259.681345,843.261995643435
260.00964,843.208504337507
260.337935,843.17133436161
260.66623,843.15042709786
260.994525,843.147805773638
261.32282,843.166557319655
261.651115,843.202115544874
261.97941,843.25443420384
262.307705,843.323466299405
262.636,843.409164095192
262.964295,843.33114156704
263.29259,843.259772372425
263.620885,843.204571684216
263.94918,843.165480430876
264.277475,843.142438864771
264.60577,843.136141485815
264.934065,843.149196323406
265.26236,843.178649282475
265.590655,843.224435319267
265.91895,843.286488520954
266.247245,843.364742122137
266.57554,843.322872517527
266.903835,843.270793853144
267.23213,843.234121891534
267.560425,843.212806233184
267.88872,843.206795778687
268.217015,843.216548823803
268.54531,843.246874852532
268.873605,843.292383128395
269.2019,843.353018942453
269.530195,843.428726961177
269.85849,843.519451240882
270.186785,843.489127896982
270.51508,843.424748246517
270.843375,843.375907570901
271.17167,843.342549041076
271.499965,843.324615224069
271.82826,843.322048097747
272.156555,843.339592054442
272.48485,843.372660458751
272.813145,843.421079365287
273.14144,843.484777984074
273.469735,843.563684721921
273.79803,843.556724300605
274.126325,843.504281968682
274.45462,843.467041503609
274.782915,843.444953907568
275.11121,843.437969427081
275.439505,843.446037565791
275.7678,843.475619451387
276.096095,843.521168138467
276.42439,843.581659473034
276.752685,843.657039951741
277.08098,843.747255376978
277.409275,843.76003481522
277.73757,843.702690845828
278.065865,843.662048625622
278.39416,843.63805282108
278.722455,843.630647159397
279.05075,843.639774441794
279.379045,843.67104797205
279.70734,843.721183603501
280.035635,843.788446005954
280.36393,843.872787916202
280.692225,843.974161196419
281.02052,844.015788740142
281.348815,843.961790203726
281.67711,843.922925337688
282.005405,843.899142230135
282.3337,843.890388274494
282.661995,843.89661018256
282.99029,843.922428228
283.318585,843.965540465327
283.64688,844.023384312057
283.975175,844.095895117043
284.30347,844.183007494171
284.631765,844.232621365808
284.96006,844.176867842391
285.288355,844.138225313089
285.61665,844.116644701755
285.944945,844.112076031959
286.27324,844.124468439162
286.601535,844.157327966562
286.92983,844.210719496478
287.258125,844.281821624048
287.58642,844.370588834595
287.914715,844.476974600717
288.24301,844.566446273771
288.571305,844.526100170725
288.8996,844.500470003588
289.227895,844.48950631879
289.55619,844.493158986939
289.884485,844.511377215517
290.21278,844.54740069999
290.541075,844.601839877957
290.86937,844.670242401974
291.197665,844.752539641071
291.52596,844.848662265675
291.854255,844.944134336611
292.18255,844.89592272293
292.510845,844.86433371326
292.83914,844.84931904226
293.167435,844.850829504148
293.49573,844.868814964417
293.824025,844.906010760443
294.15232,844.965811034992
294.480615,845.042690360231
294.80891,845.136607894712
295.137205,845.247521909717
295.4655,845.375389799916
295.793795,845.332900992661
296.12209,845.302249009142
296.450385,845.288225986026
296.77868,845.290779145749
297.106975,845.309854894144
297.43527,845.346667245737
297.763565,845.404783630658
298.09186,845.479834954398
298.420155,845.571764161837
298.74845,845.680513232356
299.076745,845.806023194464
299.40504,845.797378294747
299.733335,845.780291618479
300.06163,845.777836700417
300.389925,845.789969337277
300.71822,845.816644719532
301.046515,845.858683517166
301.37481,845.921925325163
301.703105,845.99907631636
302.0314,846.090068566307
302.359695,846.194833395256
302.68799,846.313301383398
303.016285,846.314910129201
303.34458,846.291243406067
303.672875,846.284262814844
304.00117,846.293922198257
304.329465,846.320174428866
304.65776,846.362982492577
304.986055,846.431359844991
305.31435,846.516895369057
305.642645,846.619551017606
305.97094,846.739287840966
306.299235,846.876065997046
306.62753,846.905178275623
306.955825,846.883419746439
307.28412,846.877769155006
307.612415,846.888169661197
307.94071,846.91456367389
308.269005,846.956892864491
308.5973,847.021329937893
308.925595,847.10390245682
309.25389,847.203908721294
309.582185,847.32130665809
309.91048,847.456053036407
310.238775,847.514745866715
310.56707,847.509030847536
310.895365,847.517203286022
311.22366,847.539321546918
311.551955,847.575443299061
311.88025,847.626396524737
312.208545,847.694932464772
312.53684,847.778043999515
312.865135,847.875779287633
313.19343,847.988185713989
313.521725,848.115309877284
313.85002,848.174068912656
314.178315,848.1411924136
314.50661,848.126359946743
314.834905,848.129579549876
315.1632,848.150857954248
315.491495,848.190200580308
315.81979,848.259120557457
316.148085,848.352712382401
316.47638,848.465625552846
316.804675,848.597823881703
317.13297,848.749269508475
317.461265,848.826965683266
317.78956,848.716509138022
318.117855,848.604099596595
318.44615,848.49013322957
318.774445,848.375006723539
319.10274,848.259117105111
319.431035,848.135566336916
319.75933,847.848955908535
320.087625,847.399675326862
320.41592,846.789965547675
320.744215,846.022098603017
321.07251,845.463096210721
321.400805,846.309867996099
321.7291,847.376320945619
322.057395,847.957868710296
322.38569,847.181048665654
322.713985,846.112800608404
323.04228,844.752768071004
323.370575,843.100841706354
323.69887,841.157182019652
