"Distance [mm]","B_normal []"
143.79321,-0.984435293303375
144.121505,-0.984486975512262
144.4498,-0.98456481241353
144.778095,-0.984662304722012
145.10639,-0.984778486791464
145.434685,-0.984913292434891
145.76298,-0.985066654281325
146.091275,-0.985133356560998
146.41957,-0.985124881792722
146.747865,-0.985128835428188
147.07616,-0.98514517238423
147.404455,-0.985173847099589
147.73275,-0.985214813543383
148.061045,-0.985274778021409
148.38934,-0.985348394699537
148.717635,-0.985433770415979
149.04593,-0.985530927449908
149.374225,-0.985639890676772
149.70252,-0.985986124552627
150.030815,-0.986482328270459
150.35911,-0.986770737528454
150.687405,-0.986850339456275
151.0157,-0.986720139620403
151.343995,-0.986379162163719
151.67229,-0.98577974849445
152.000585,-0.98510663956525
152.32888,-0.9844165390576
152.657175,-0.983712976768873
152.98547,-0.982999518034887
153.313765,-0.983177603448898
153.64206,-0.985398146816711
153.970355,-0.987879716718011
154.29865,-0.98916361153456
154.626945,-0.988882490437182
154.95524,-0.988635160894526
155.283535,-0.988424104478787
155.61183,-0.988251933937484
155.940125,-0.988034790595235
156.26842,-0.986601978471185
156.596715,-0.984865995965421
156.92501,-0.983055513217628
157.253305,-0.98126235362728
157.5816,-0.980372760345145
157.909895,-0.982022661838689
158.23819,-0.983714954338832
158.566485,-0.983650509599392
158.89478,-0.982573627874417
159.223075,-0.978114381302172
159.55137,-0.972570602600273
159.879665,-0.967060249205832
160.20796,-0.966621260507251
160.536255,-0.966121875237346
160.86455,-0.956503646351617
161.192845,-0.945727553537005
161.52114,-0.934159957904851
161.849435,-0.922696930331623
162.17773,-0.914450329436352
162.506025,-0.907689250236692
162.83432,-0.863763004858261
163.162615,-0.792362990575312
163.49091,-0.709319134126366
163.819205,-0.661191383612842
164.1475,-0.496386454573478
164.475795,-0.369865323136604
164.80409,-0.282636662741365
165.132385,-0.205205176931409
165.46068,-0.13368276664706
165.788975,-0.0724723034345136
166.11727,-0.0652622903166821
166.445565,-0.0606604164351254
166.77386,-0.0496116024268792
167.102155,-0.0384357637598228
167.43045,-0.0271071512078457
167.758745,-0.0192188356517289
168.08704,-0.0156717239336402
168.415335,-0.0127082696289215
168.74363,-0.00991993835499836
169.071925,-0.00730421872754946
169.40022,-0.00487863054013966
169.728515,-0.00461037463139104
170.05681,-0.00316004796215096
170.385105,-0.00194239279718794
170.7134,-0.000956000982433907
171.041695,-0.00019942018990303
171.36999,0.000174156072916803
171.698285,0.000358449186011027
172.02658,0.000577768012128153
172.354875,0.000770051427488017
172.68317,0.000935271120311854
173.011465,0.00107340535662289
173.33976,0.00118443899421763
173.668055,0.00126836349580794
