"Time [ns]","Moving1.Position [deg]","L(Winding1,Winding1) [deg]"
218000000,139.692959235347,8.08743038895559
220000000,140.234264777499,8.10500831085695
222000000,140.796151526226,8.12714278052417
224000000,141.381573349961,8.15503705921832
226000000,141.993910982942,8.18887139289979
228000000,142.636986134434,8.23011313336808
230000000,143.315067592145,8.26232499624587
232000000,144.03280226054,8.30881647543912
234000000,144.795796537126,8.37062624605503
236000000,145.611204414452,8.44926984540318
238000000,146.488384767967,8.55565004585133
240000000,147.439865997592,8.70627343316724
242000000,148.481569909319,8.86273001562762
244000000,149.632662426597,9.08634961283145
246000000,150.913023950497,9.38635414007434
248000000,152.338663839347,9.77050488737686
250000000,153.916457444802,10.1690654263883
252000000,155.648043265618,10.6201763865191
254000000,157.534131730733,11.1424959027038
256000000,159.574370057997,11.6449567846364
258000000,161.769274638432,12.2336936541277
260000000,164.1187132712,12.837059487006
262000000,166.622505700568,13.4977661769476
264000000,169.280236841459,14.1825141848875
266000000,172.091748595936,14.931941680112
268000000,175.056314463183,15.6835121358563
270000000,178.17392014813,16.5082202777576
272000000,181.44414887575,17.3422813568
274000000,184.866149443587,18.2175911362138
276000000,188.439680506713,19.1434857144784
278000000,192.164633093806,20.0980635433794
280000000,196.040166548839,21.0711420620111
282000000,200.065344708128,22.0879015408108
284000000,204.239603935448,23.1369066653418
286000000,208.561320350201,24.2086464006904
288000000,213.026752170374,25.2824072203417
290000000,217.627447515832,26.2949787036985
292000000,222.339092666935,27.0221033684641
294000000,227.098580445984,27.054884102472
296000000,231.821426274741,26.3918008424318
298000000,236.439918057617,25.395249128111
300000000,240.926785013071,24.3277066127177
302000000,245.27255523751,23.2576314609801
304000000,249.47320762492,22.2038147214819
306000000,253.527026851232,21.1872583668751
308000000,257.433149557694,20.2115520368501
310000000,261.190469891224,19.2331048082437
312000000,264.797982412118,18.3043711320415
314000000,268.255801873303,17.4261940928185
316000000,271.563860634824,16.5713099121865
318000000,274.720927651563,15.7421904485845
320000000,277.726939558533,14.9850567594137
322000000,280.581844460111,14.2201996911984
324000000,283.284908243564,13.5260657461803
